book_id,chap_id,term_str,n,tf,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
0,1,indignation,1,0.003236245954692557,0.011552930771297567,NN,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,-1.0
0,1,innocent,1,0.003236245954692557,0.007159558588067522,JJ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,inquiry,1,0.003236245954692557,0.014239257627471313,NN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0,1,interrupted,2,0.006472491909385114,0.013043797777691333,VBN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,1,isolated,1,0.003236245954692557,0.01802542268068268,VBN,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,1,killing,3,0.009708737864077669,0.022916526628174737,VBG,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,1,kind,2,0.006472491909385114,0.004060460213538563,NN,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
0,1,leader,1,0.003236245954692557,0.014789176725990123,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,leave,1,0.003236245954692557,0.0013595743974960058,VB,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,-1.0
0,1,lion,1,0.003236245954692557,0.01289609419938444,NN,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1,lord,1,0.003236245954692557,0.0035936051446396468,NNP,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
0,1,losing,2,0.006472491909385114,0.012654665140554949,VBG,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,1,loss,1,0.003236245954692557,0.008173014527419076,NN,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,1,lost,1,0.003236245954692557,0.0019177206628835965,VBN,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,-1.0
0,1,luck,1,0.003236245954692557,0.004866557986644582,NN,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0,1,mad,1,0.003236245954692557,0.002223988863977691,NNP,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,-1.0
0,1,magical,7,0.022653721682847898,0.012655011230918627,JJ,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0
0,1,manage,1,0.003236245954692557,0.008173014527419076,VB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
0,1,ministry,4,0.012944983818770227,0.006802090472135851,NNP,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
