term_str,0,1,2,3,4,5,6,7,8,9
doubt,-0.007900802847572969,-0.0033439313861702907,0.005106901833480601,-0.009131174752248625,-0.03254404426442147,0.0035548691525531446,-0.0013973147941294542,0.03056187369997622,0.023538840769053555,0.017888780157310054
perfectly,-0.0027457510219447622,-0.009256790408331895,-0.003554434740468564,-0.02786267522308191,-0.0040268542111058635,0.003496615545410089,0.02714859993847136,0.00527375507573298,-0.0020968303625281143,0.023082741911969004
impatiently,0.0012154732485600357,-0.011288576587223294,-0.0118717918302268,-0.009642381228090025,-0.02337924279807006,-0.006483434305514477,0.022905125486541646,-0.023495933318282567,0.019322904518408957,-0.0007462697504951733
whisper,-0.0018206035757240982,-0.010717574034810839,-0.005351422290646816,0.0032480202982406586,-0.015909114740976626,0.0069983015754585464,0.021429598707473692,0.0007097832815333609,0.007539905756251189,-0.015218077813899064
nervously,0.011960920003213835,-0.017900146029642426,-0.01563279367197815,-0.011451676712194294,0.0047734316377089974,-0.02034078792882062,0.0016879329733867578,0.009817799268388614,0.01788253590446677,-0.022153281993741045
trembling,0.0026427049783245673,0.0055836306528776695,0.021016983706936415,0.01608210606804722,0.0016750421136754133,0.02565379090970188,0.02605702487532426,-0.02087694660880486,0.002581358695563883,-0.0009985797748610862
fall,-0.004606355205631124,0.008339251408061084,9.303122073833756e-05,0.005785446756331523,0.01990965029843943,0.004095070065973328,0.004768041635121036,0.013369569682698567,-0.005197027133286442,0.0009059590607096964
terrified,0.010240364726979638,0.011365453147672523,0.021281439298001976,0.01538209454940982,0.006968847565751345,0.030624420598037962,0.0060213957474944445,-0.03140280094381045,0.02072075674721803,-0.014799580933595142
hoping,-0.0026897366415275003,-0.008077305009527198,-0.017088875183364445,-0.02402504923684183,0.007244842792253364,0.009402770734189993,0.014046164109842272,0.014815914977764482,-0.019636971059271608,0.0047535245123422245
join,-0.0010701725278842139,0.009588233042838595,-0.014689728218167077,-0.007355963764790554,-0.013193355227310109,-0.0059368503858159664,-0.005323794134982723,-0.005044859495198224,0.01616738449356835,0.007890937754509041
poor,0.0010556360826917068,-0.01564724469632544,0.008894540629109016,-0.013353418669800695,-0.0014881973344948152,0.019704724468779848,-0.011081264591446168,-0.004617878365754905,0.01706571547025286,0.026524280884106168
dunno,0.02110914860598702,0.0007019494972224829,-0.021057515524439595,-0.007799650307125069,-0.0028180261885427426,0.0027752562206224962,-0.0069042246578940696,-0.019572722279514267,0.014010035281080175,0.015023039890235467
forget,0.008905820247183331,-0.0018826985012819395,-0.01543788979158595,0.017537882205276478,0.025626932588069896,0.008754264215584206,-0.010444211265219643,0.03211497902227815,0.010057609411125856,0.06090241185706775
teacher,0.0023395828360378928,-0.016512990491235665,-0.062052398369948115,-0.010649351585768367,-0.052722864881105586,0.0011564177321187355,0.05102136416735761,0.024625035739384276,0.021747550172949194,-0.014728521217539191
rising,-0.005985445615070065,-0.0019898429500393076,0.006285125104053918,0.012162370935778844,-0.014768493920115344,-0.016332650736298318,0.011339377834921956,-0.0009656289534815322,0.0013234499229951783,-0.010302570407099693
seems,-0.001958938116700004,-0.012478773749723287,0.008157905834037393,-0.014164432492383116,-0.024960789658224913,0.026043694123171052,0.0062475953043016515,0.03474336779431101,0.0052388074879994835,0.01552882776780459
highly,-0.005616544993140478,-0.004558872532609447,-0.00790206493215896,-0.022699741451941435,-0.01657292095722715,-0.009686224734856133,0.01802431494732897,7.308500314820378e-05,0.011893150382669214,0.027404168080823493
finger,-0.005316370088639697,0.006881803353431216,0.021391051241854607,-0.01481655672861442,0.006769755054392266,0.006107856788982141,0.003228493680943196,0.016443820611707575,-0.009453578805114568,0.009152505204679575
hesitated,-0.0035418302026746307,0.010026117537984382,0.012640403602741393,-0.0033485129006107592,-0.004068501532707901,0.0032430357908197257,0.023539954475665984,0.008378849274272076,0.009608827327487376,0.018125109213662494
live,0.00927361001064216,0.01814496839695085,0.03693125138189675,0.00794915219181913,0.011315190957530348,-0.010179804051448199,0.027384889487821532,0.026970294723643207,-0.0013055472933501291,-0.0041933295934355
present,0.020443130120965075,-0.0060343508161114084,0.019744315469991978,-0.01652930082725761,-0.01997087135428716,-0.06112821881699823,0.0024556546443457983,0.027613115536917896,-0.005996542827934588,0.061163467399349664
follow,0.012756518661732792,0.008392802702063364,-0.017041797127277748,0.020815314443499117,0.01726538483160898,0.012879049444188719,0.010851099617798052,-0.0103114135291688,0.010381256928586075,-0.004133998202667475
badly,0.0055175488864508525,-0.004885144489877788,-0.003920345454019379,0.014709177177569985,-0.00662484876515667,-0.007575366690699527,0.005119780909648057,-0.022061244470730296,0.010860166062880412,0.023532771328636605
liked,0.01005564716454277,-0.0069937726706339074,-0.004250874326918443,-0.04312751518593407,-0.016485011103948153,0.036274114519353313,0.005396430298015749,0.0003940728932765917,-0.0036287353055253916,0.0061819389457341625
often,-0.0012412395716753376,-4.82940364573352e-05,-0.010088413169503296,-0.020215476862457307,-0.020302240660356068,0.00047531498596380594,-0.006305121496361371,-0.02455808373532434,0.006907600006310743,-0.0035940346820382213
nervous,0.0018387396451375207,0.0008367855142781171,-0.030293944515542848,-0.0037023080692499526,0.019624096174545722,-0.013933355156169891,-0.01816574438904676,-0.007862311439539037,0.0023237580428205683,-0.02036742669971093
teachers,0.012055333855663576,-0.008266021747261484,-0.08340889344305384,0.012109839429316952,-0.0374680235574286,-0.017425178958545662,0.004073819060309243,0.028028369177330415,-0.036998960652925954,-0.015022797624368874
marble,-0.0005766529502974752,0.00825714007621736,-0.008916902501078704,0.026262088660330037,-0.015807418700135956,-0.005093297954066404,-0.02748018751847297,0.019531415218334843,-0.02361296267993766,-0.0480054574380475
sank,0.008170191755215732,-0.0026953251546196827,-0.018057214901001633,0.010107451191447448,0.005445402249722394,0.009878123048227145,0.027224859772091548,-0.009638165921833239,0.005027147950320353,-0.015302519651693377
gray,-0.0019455116516467635,0.00497528144417356,0.002565359000015313,-0.005622224265651125,0.038249756216844275,-0.0004466452866441804,-0.0018319797821012831,0.02082432331019958,-0.02901582559000693,-0.03819173032224731
